UniProtKB:A0A286ZND3	SMAP1
UniProtKB:A0A5K1U4T1	CD274
UniProtKB:A0A287BKG2	CHI3L1
UniProtKB:F1SUX2	F1SUX2
UniProtKB:F1SV90	EIF3I
UniProtKB:F1RUX7	RAD9A
UniProtKB:A0A287BKF3	NOS1
UniProtKB:A0A287BKF1	EIF2AK2
UniProtKB:A0A286ZZ23	SCYL1
UniProtKB:A0A287A4T8	GLYR1
UniProtKB:A0A287A551	MGAT5
UniProtKB:A0A287A4T0	PRKN
UniProtKB:A0A287BKE2	NDRG1
UniProtKB:F1SUV0	ATG16L2
UniProtKB:A0A287A4S4	RPAP3
UniProtKB:A3KCL7	DDO
UniProtKB:F1SUU1	PLEKHM2
UniProtKB:A0A286ZYS4	PTK6
UniProtKB:A0A287A537	ST3GAL2
UniProtKB:F1SV57	MMP12
UniProtKB:A0A286ZZ53	CYTH3
UniProtKB:A0A287A524	GNS
UniProtKB:F1SUS8	COA4
