UniProtKB:A0A5G2RH35	ADAMTSL5
UniProtKB:P50390	TTR
UniProtKB:F1RKE0	ZP3
UniProtKB:F1RX36	FGA
UniProtKB:A0A286ZMV5	A0A286ZMV5
UniProtKB:A0A2C9F357	BSP1
UniProtKB:A0A286ZYZ5	LOC106504547
UniProtKB:F1S8U0	DPCD
UniProtKB:I3L8V6	SLC26A4
UniProtKB:I3L8W5	STK36
UniProtKB:P81405	PSAP
UniProtKB:P02703	CLPS
UniProtKB:A0A286ZYT6	LOC100518305
UniProtKB:F1RJX1	TNFSF11
UniProtKB:Q76LU6	IL21
UniProtKB:I3L8Z9	DEFB121
UniProtKB:A0A286ZZ12	CNP
UniProtKB:F1RK30	SERPINE3
UniProtKB:Q29599	OAS1
UniProtKB:F1RK12	ITM2B
UniProtKB:A0A5G2RFW9	MANF
UniProtKB:I3L9F5	PCYOX1
UniProtKB:I3L9F8	VTN
UniProtKB:Q28832	LDLR
UniProtKB:A0A5S6HCB7	AOC1
UniProtKB:P19619	ANXA1
UniProtKB:A0A286ZNR0	TTLL1
UniProtKB:F1RJE3	VWA1
UniProtKB:A0A287BKX1	LRRC17
UniProtKB:F1RIZ0	PDGFA
UniProtKB:F1RIW2	SPOCK3
UniProtKB:F1RJ68	OLFM4
UniProtKB:A0A286ZY25	ADAMTS10
UniProtKB:I3LI45	GIP
UniProtKB:F1RIS4	ITGAM
UniProtKB:F1RIS0	PRSS36
UniProtKB:F1RIQ1	NTN5
UniProtKB:A0A480E303	ANGPT2
UniProtKB:A0A5G2R3T4	IGFBP6
UniProtKB:F1RIF7	CORT
UniProtKB:A0A286ZXA5	C1QTNF2
UniProtKB:A0A286ZP41	PGC
UniProtKB:Q5XW65	BPIFA1
UniProtKB:A0A5G2R3X5	TG
UniProtKB:P0DSO0	SAA2
UniProtKB:A0A5G2REJ1	ENTPD6
UniProtKB:A0A5G2REI7	C1QTNF7
UniProtKB:A0A286ZWY3	PLA2G6
UniProtKB:A0A286ZWY0	CKLF
UniProtKB:F1RHZ6	PTH2
UniProtKB:P29700	AHSG
UniProtKB:A0A286ZX54	PLA2G5
UniProtKB:A0A286ZX41	NUPR1
UniProtKB:A0A286ZPB4	ENDOU
UniProtKB:A0A286ZX26	CTSD
UniProtKB:A0A5G2RAX3	PRC1
UniProtKB:F1SQR3	NTN4
UniProtKB:A0A287A109	FGF1
UniProtKB:Q9BDP9	CARTPT
UniProtKB:A0A287A0M2	ARSG
UniProtKB:P22412	DPEP1
UniProtKB:A0A5G2R7G2	FGF8
UniProtKB:A0A287BFZ9	IL26
UniProtKB:A0A287BFY0	ALDOA
UniProtKB:A0A5G2R7E9	ADAMTS1
UniProtKB:A0A287BG34	FGF22
UniProtKB:A0A287A0A9	CCN2
UniProtKB:I3LIB7	IL6
UniProtKB:A0A5G2R6U5	CCBE1
UniProtKB:P42099	ZP2
UniProtKB:P42098	ZP3
UniProtKB:F1SPX3	NTS
UniProtKB:A0A5G2R6P1	SPARC
UniProtKB:A0A287BFD3	NXPH2
UniProtKB:O97763	NPC2
UniProtKB:A0A5G2QUK1	IMPG1
UniProtKB:A0A286ZHZ6	PDYN
UniProtKB:A0A287BEZ0	ADCYAP1
UniProtKB:F1SPK8	CD63
UniProtKB:A0A5G2QUE0	SERPINC1
UniProtKB:A0A286ZI52	HNRNPA2B1
UniProtKB:A0A5G2R6C7	LEAP2
UniProtKB:A0A287BEU8	CXCL16
UniProtKB:F1SPG5	FBLN2
UniProtKB:A0A287BET6	ADGRB1
UniProtKB:F1SPF0	ACP3
UniProtKB:A0A287AEU9	C5H12orf66
UniProtKB:A0A5G2R2Q7	FGF13
UniProtKB:A0A287BEQ0	PNOC
UniProtKB:A0A5G2QU73	LOC110255221
UniProtKB:Q7M329	RNASET2
UniProtKB:A0A5G2R5S5	ADAMTS3
UniProtKB:A0A5G2QU27	ANGPT1
UniProtKB:A7J149	BPIFB1
UniProtKB:A0A287BEC5	TMPRSS11A
UniProtKB:Q7M2W6	CRYAB
UniProtKB:A0A5G2QTL1	VWC2L
UniProtKB:A0A287BIP4	F12
UniProtKB:P79385	MFGE8
UniProtKB:A0A5G2R5F2	CHGA
UniProtKB:A0A287BDY5	HMCN1
UniProtKB:P67934	TAC3
UniProtKB:A0A287BDR3	UTS2B
UniProtKB:B7U2G7	LGALS7
UniProtKB:A0A5G2R599	FUCA2
UniProtKB:A0A287BDL2	NRTN
UniProtKB:A0A5G2R574	PLA2G1B
UniProtKB:P42706	THPO
UniProtKB:I3LKG8	POMC
UniProtKB:F1SNX9	NPTXR
UniProtKB:Q6SC67	DEFB110
UniProtKB:A0A5G2R528	BMPER
UniProtKB:A0A287BDE8	AHSG
UniProtKB:A0A480LTA0	ESM1
UniProtKB:A0A5G2QT03	PIBF1
UniProtKB:I3LL32	CHIA
UniProtKB:P37109	SPINK4
UniProtKB:P79281	PTN
UniProtKB:P79263	ITIH4
UniProtKB:A0A5G2QSD6	GLIPR2
UniProtKB:A0A5G2QSD1	MUC2
UniProtKB:A0A5G2R3Z8	OOSP3
UniProtKB:A0A5G2R3Z5	APLN
UniProtKB:A0A5G2QS80	CCN1
UniProtKB:A0A287BCI5	KRR1
UniProtKB:A0A287BCH3	IFN-ALPHA-8
UniProtKB:F1SN71	AMBP
UniProtKB:F1SN67	FBN1
UniProtKB:F1SV56	MMP13
UniProtKB:A0A287BCA4	SSC5D
UniProtKB:S5Y9V4	FRZB
UniProtKB:F1RTM0	LOC100522569
UniProtKB:A0A286ZYQ3	FGL1
UniProtKB:A0A287AJ62	GHR
UniProtKB:A0A287AIU0	MFGE8
UniProtKB:A0A287AJ42	A0A287AJ42
UniProtKB:A0A287AJ37	LOC110257188
UniProtKB:F1S5C4	SLIT2
UniProtKB:F1RTC0	NXPH3
UniProtKB:A0A287AJ12	LOC100513671
UniProtKB:F1RTB4	WFIKKN2
UniProtKB:F1RTA3	GGH
UniProtKB:I3LJ55	PARP3
UniProtKB:A0A287AIN7	TULP1
UniProtKB:A0A5S6HM99	RNH1
UniProtKB:A0A287AIM8	C5
UniProtKB:A0A5G2Q9X4	ASAH2
UniProtKB:F1RSZ8	ENPP6
UniProtKB:F1SK47	INSL6
UniProtKB:A0A5S6HM44	HP
UniProtKB:A0A5G2QHA2	PMAP-36
UniProtKB:A0A5G2Q9R1	CDH13
UniProtKB:Q03710	CFB
UniProtKB:F1S4U8	PKDCC
UniProtKB:F1S4T9	PNLIP
UniProtKB:F1RSR6	KL
UniProtKB:I3LIF2	CLSTN1
UniProtKB:F1RT17	AGA
UniProtKB:F1RSL3	SMPD5
UniProtKB:A0A5S6G633	CSN1S1
UniProtKB:A0A287BBR1	DAG1
UniProtKB:F1RSG0	KIF2B
UniProtKB:A0A5G2QHV2	LOC110258651
UniProtKB:I3LHW9	THPO
UniProtKB:P26322	P26322
UniProtKB:A0A287AHK1	GC
UniProtKB:A0A2C9F3F0	SOD1
UniProtKB:A0A5G2Q8T1	LOC110261716
UniProtKB:A0A287AHG3	IL21
UniProtKB:F1RRW5	ACE
UniProtKB:F1RRV3	TG
UniProtKB:F1S3U3	CCL27
UniProtKB:A0A287AHB6	XPNPEP2
UniProtKB:I3LHG3	PHLPP2
UniProtKB:A0A5G2Q8L8	TAFA1
UniProtKB:F1S412	CRIM1
UniProtKB:P18650	APOE
UniProtKB:F1S3J9	ICAM1
UniProtKB:A0A287AH87	NAPSA
UniProtKB:Q7YR83	ELSPBP1
UniProtKB:I3LGZ3	GPRL15
UniProtKB:I3LH92	AQP2
UniProtKB:F1S3D5	LMAN2
UniProtKB:A0A480L8N8	KAZALD1
UniProtKB:A0A287AH24	PDCD6IP
UniProtKB:A0A5K1UH01	PDIA6
UniProtKB:I3LGT8	LOC100512727
UniProtKB:A0A286ZFW3	APOH
UniProtKB:A0A287AGN6	SCNN1G
UniProtKB:A0A287AGJ7	LYZ
UniProtKB:A0A287AGI8	FAN1
UniProtKB:F1S2X4	SOGA3
UniProtKB:F1RR92	SLIT3
UniProtKB:A0A480JET8	KIF20A
UniProtKB:I3LGI4	IFI35
UniProtKB:P56941	NPC1
UniProtKB:F1S340	SRI
UniProtKB:D0G6X8	HEXB
UniProtKB:O62697	DEFB1
UniProtKB:F1RQP2	ESRRA
UniProtKB:O19084	CDSN
UniProtKB:A0A2C9F389	BAG6
UniProtKB:A0A287B1A8	PROM1
UniProtKB:O19073	IL18
UniProtKB:F1RZP9	MICAL1
UniProtKB:K7GKA3	DEFB124
UniProtKB:F1RZN7	KLKB1
UniProtKB:F1RZM4	LAMA4
UniProtKB:P01032	C5
UniProtKB:P01025	C3
UniProtKB:A0A5S6I4D7	GH1
UniProtKB:O19113	CCN2
UniProtKB:A0A287B174	ALKAL1
UniProtKB:A0A287AP71	EFEMP1
UniProtKB:F1RZH2	LIPC
UniProtKB:A0A287AP26	ST14
UniProtKB:A0A287B123	CCN4
UniProtKB:Q8MJ76	AFP
UniProtKB:Q95JC9	Q95JC9
UniProtKB:F1RYX8	CLPSL2
UniProtKB:P01165	SCG5
UniProtKB:Q95JB4	LEAP2
UniProtKB:P27485	RBP4
UniProtKB:P28491	CALR
UniProtKB:P30879	PGC
UniProtKB:P31936	IBSP
UniProtKB:P34930	HSPA1A
UniProtKB:P35496	P35496
UniProtKB:A0A287B0B8	SFTPB
UniProtKB:P41535	ADCYAP1
UniProtKB:P45846	DPT
UniProtKB:P53366	ADM
UniProtKB:P79287	MMP20
UniProtKB:P83106	P83106
UniProtKB:F1RYN3	GLDN
UniProtKB:Q95J68	IL13
UniProtKB:E0A8P1	IGFBP1
UniProtKB:A0A287ANW4	GRP
UniProtKB:F1SRJ7	IGF1
UniProtKB:A0A287ANS1	KLK7
UniProtKB:F1RPW2	F5
UniProtKB:F1RXT8	NCAPH2
UniProtKB:F1RXR2	CRELD2
UniProtKB:Q0PIT9	NAXE
UniProtKB:F1RY08	C1QL2
UniProtKB:Q307W6	CARTPT
UniProtKB:Q3I5G7	SNCA
UniProtKB:F1SSF7	AEBP1
UniProtKB:P16611	IGFBP3
UniProtKB:Q9GLP1	F5
UniProtKB:F1S981	SPON1
UniProtKB:A0A5K1UN68	IL28B
UniProtKB:A0A5G2QCU4	EMILIN1
UniProtKB:F1RXE3	CDC6
UniProtKB:I3LN92	NME5
UniProtKB:P26893	IL6
UniProtKB:P26891	IL2
UniProtKB:A0A287AN07	PTHLH
UniProtKB:I3LMT5	PRRG1
UniProtKB:A0A5S6HQ91	PAEP
UniProtKB:P01177	OXT
UniProtKB:A0A287AMJ5	CRTAP
UniProtKB:I3LMK2	TFF2
UniProtKB:F1RX37	FGB
UniProtKB:F1S902	COMP
UniProtKB:A0A5G2QI26	ANPEP
UniProtKB:F1SD70	LGMN
UniProtKB:A0A5G2QI02	IQCB1
UniProtKB:A0A287B9B4	DEFB113
UniProtKB:A0A5G2QHM3	MLN
UniProtKB:K7GLN7	TRIM45
UniProtKB:F1SD27	WFDC8
UniProtKB:P15785	SFTPC
UniProtKB:A0A5G2QHJ8	PSP-I
UniProtKB:F1SCM6	F1SCM6
UniProtKB:F1SCL3	F1SCL3
UniProtKB:A0A480XKK4	CDC7
UniProtKB:K7GRY9	IL17D
UniProtKB:Q29121	GALNT1
UniProtKB:A0A5G2QHB7	IFNA1
UniProtKB:K7GRW9	RS1
UniProtKB:Q29108	ZPBP
UniProtKB:A0A287AX37	NCAN
UniProtKB:A0A287AWP7	CHSY1
UniProtKB:A0A287AWN4	ADAMTSL4
UniProtKB:A5GFP7	CBLN4
UniProtKB:A0A287B8M3	ADAMTS8
UniProtKB:O02826	MSMB
UniProtKB:P63181	Cbln1
UniProtKB:Q9TU18	AGRP
UniProtKB:Q9TT95	GALP
UniProtKB:F1SC71	LGI1
UniProtKB:A0A5G2QGP0	THBS2
UniProtKB:B6E279	IL17A
UniProtKB:F1SC57	PLTP
UniProtKB:Q9TTK7	OLR1
UniProtKB:A0A5G2QGM8	SMOC1
UniProtKB:I7HJH6	AQN-3
UniProtKB:Q29095	PTGDS
UniProtKB:Q29079	PAG2
UniProtKB:Q29078	Q29078
UniProtKB:Q29075	NKL
UniProtKB:K7GMU1	CD86
UniProtKB:Q29055	IL10
UniProtKB:Q29053	IL12A
UniProtKB:K7GMV8	ENPP3
UniProtKB:Q29041	FCN2
UniProtKB:A0A287AW92	KATNIP
UniProtKB:P08419	CELA2A
UniProtKB:Q29016	ACRBP
UniProtKB:Q29011	ACAN
UniProtKB:A0A5G2QGA4	CRP
UniProtKB:A0A287B850	RARRES2
UniProtKB:F1SBF2	SULF2
UniProtKB:A0A287B836	LAMP2
UniProtKB:A0A287B828	SLC12A1
UniProtKB:A0A287B814	NMB
UniProtKB:K7GQR1	CFP
UniProtKB:A0A287AW07	DUSP11
UniProtKB:A0A287AW04	PLA2G2E
UniProtKB:A0A5G2QFZ3	C8H4orf48
UniProtKB:K7GQP9	IL17F
UniProtKB:I3LVS7	RHOA
UniProtKB:P11936	DNASE1
UniProtKB:K7GQN2	FAP
UniProtKB:P18648	APOA1
UniProtKB:F1SAZ0	SPAG17
UniProtKB:A0A287B636	GLA
UniProtKB:K7GQI7	ASC
UniProtKB:A0A287B654	NENF
UniProtKB:A0A5G2QXX3	QSOX1
UniProtKB:K7GQF2	ENG
UniProtKB:I3LVG5	EGF
UniProtKB:A0A5G2QFK8	LGALS3
UniProtKB:A0A5G2QFI9	SAA2
UniProtKB:F1SMP8	KCP
