UniProtKB:F1SGT8	IGSF5
UniProtKB:O62680	CD59
UniProtKB:Q9MZ16	VDAC1
UniProtKB:Q9MZ15	VDAC2
UniProtKB:A0A5G2QJ67	PMS2
UniProtKB:A0A5G2QIU3	SGPP2
UniProtKB:A0A5G2QIU0	CSF1R
UniProtKB:A0A286ZQW4	NUP210L
UniProtKB:A0A480EMB8	SLC25A40
UniProtKB:A0A5G2QJ56	RNFT2
UniProtKB:A0A287AYH9	PPT1
UniProtKB:A0A287AYH3	UBQLN1
UniProtKB:A0A287AYH2	GMPR
UniProtKB:F1SDY2	MAST1
UniProtKB:K7GMP3	ITM2A
UniProtKB:I3LUH7	SLC7A11
UniProtKB:A0A5G2QIS7	ROCK1
UniProtKB:A0A5G2QIS3	AAAS
UniProtKB:A0A287AYG5	TMEM237
UniProtKB:A0A287AQB5	A0A287AQB5
UniProtKB:A0A287AYG1	ACER3
UniProtKB:A0A5G2QIR5	A0A5G2QIR5
UniProtKB:A0A5G2QIR1	PCYT1A
UniProtKB:A0A5G2QIR0	VPS41
UniProtKB:A0A287AQC2	ARHGDIA
UniProtKB:A0A5G2QIQ5	LOC106505477
UniProtKB:A0A5G2QIQ2	A0A5G2QIQ2
UniProtKB:P09933	TPO
UniProtKB:F1SE78	LRRC66
UniProtKB:A0A5G2QJ18	A0A5G2QJ18
UniProtKB:A0A5G2QIP1	A0A5G2QIP1
UniProtKB:F1SDU8	MARCHF8
UniProtKB:F1SE66	RASL11B
UniProtKB:A7XUJ6	TRAF6
UniProtKB:A0A287ASE5	LOC110255380
UniProtKB:A0A5G2QIN1	SLC9A3R2
UniProtKB:A0A287AYB4	PDGFRA
UniProtKB:F1SE46	LOC100517735
UniProtKB:F1S9I9	MTARC2
UniProtKB:A0A5G2QIM2	A0A5G2QIM2
UniProtKB:A0A287AYA7	SLC6A12
UniProtKB:F1SDQ0	SLC35F6
UniProtKB:K7GL14	CD1D
UniProtKB:P63221	RPS21
UniProtKB:F1SE19	AP3M2
UniProtKB:F1SE17	F1SE17
UniProtKB:A0A5G2QIJ9	KCNS2
UniProtKB:I3LV41	OMA1
UniProtKB:F1SDN2	HADHB
UniProtKB:A0A5G2QIH5	SLC39A7
UniProtKB:A0A5G2QIH0	A0A5G2QIH0
UniProtKB:K7GN73	TNFRSF11A
UniProtKB:A0A287B9Z7	SLC19A3
UniProtKB:A0A287B9Z2	CORO1B
UniProtKB:I3LUU8	SNX13
UniProtKB:A0A5G2QIF7	A0A5G2QIF7
UniProtKB:Q29259	NDUFB6
UniProtKB:A0A5G2QIF0	PIGL
UniProtKB:A0A287AR04	PRPS2
UniProtKB:A0A287AXY1	GLIPR1
UniProtKB:Q9TVC1	ATP6V1H
UniProtKB:A0A5G2Q916	A0A5G2Q916
UniProtKB:Q29244	PIGR
UniProtKB:Q29243	DAG1
UniProtKB:A0A287B310	STOM
UniProtKB:A0A287AY96	LOC110258896
UniProtKB:F1SGG6	KRT5
UniProtKB:A0A287B9X4	LOC110259755
UniProtKB:A0A287AXX3	DCBLD2
UniProtKB:A0A287AXX2	LOC100156511
UniProtKB:A0A287B9X1	FXYD3
UniProtKB:Q29238	CLIC1
UniProtKB:K7GL86	GEM
UniProtKB:A0A287AXW9	SLC13A3
UniProtKB:A0A287AY88	TRAM1
UniProtKB:A0A287B2Q3	MAP3K11
UniProtKB:F1SDI6	INPP5A
UniProtKB:F1SDI2	LOC100524239
UniProtKB:A0A287B9V9	LOC110260316
UniProtKB:A0A287AY78	CD276
UniProtKB:A0A287AY77	CNOT2
UniProtKB:A0A287AXV6	ELOVL6
UniProtKB:A0A287B9V5	MAEA
UniProtKB:A0A287AY74	FBP2
UniProtKB:A0A287AY67	A0A287AY67
UniProtKB:A0A287AXU4	RTP5
UniProtKB:Q29205	RPL11
UniProtKB:A0A287AY58	LOC100521068
UniProtKB:A0A287AXT2	LOC110258277
UniProtKB:A0A286ZRB9	MAP3K5
