Gene stable ID	Gene name
ENSSSCG00000011979	GPR15
ENSSSCG00000047265	
ENSSSCG00000014078	
ENSSSCG00000040977	SNX8
ENSSSCG00000003377	ACOT7
ENSSSCG00000009240	
ENSSSCG00000023759	WDR13
ENSSSCG00000035026	
ENSSSCG00000039321	FAM222B
ENSSSCG00000016970	
ENSSSCG00000011642	RYK
ENSSSCG00000036132	CKM
ENSSSCG00000000066	L3MBTL2
ENSSSCG00000049439	
ENSSSCG00000046275	
ENSSSCG00000048669	
ENSSSCG00000011238	ARPP21
ENSSSCG00000008830	CWH43
ENSSSCG00000049574	
ENSSSCG00000026346	UBE3D
ENSSSCG00000006002	CCN3
ENSSSCG00000008404	MTIF2
ENSSSCG00000031251	DDA1
ENSSSCG00000013232	
ENSSSCG00000014079	ANKRD31
ENSSSCG00000042460	
ENSSSCG00000048390	
ENSSSCG00000007950	ADCY9
ENSSSCG00000035119	MTMR6
ENSSSCG00000009826	TCTN1
ENSSSCG00000050341	
ENSSSCG00000051570	
ENSSSCG00000002672	MEAK7
ENSSSCG00000049346	
ENSSSCG00000013231	
ENSSSCG00000036747	WAS
ENSSSCG00000012720	
ENSSSCG00000027211	EPC2
ENSSSCG00000039701	DCAF5
ENSSSCG00000048210	
ENSSSCG00000036247	
ENSSSCG00000013230	FAM180B
ENSSSCG00000006003	MAL2
ENSSSCG00000003950	TIE1
ENSSSCG00000010299	ANXA7
ENSSSCG00000046286	
ENSSSCG00000000068	EP300
ENSSSCG00000000550	
ENSSSCG00000002671	ATP2C2
ENSSSCG00000040518	
ENSSSCG00000016075	SF3B1
ENSSSCG00000039295	MRPL34
ENSSSCG00000020685	OR10D3
ENSSSCG00000022192	NCAPD3
ENSSSCG00000032081	NDUFS3
ENSSSCG00000003670	RLF
ENSSSCG00000035318	NUP58
ENSSSCG00000017776	ERAL1
ENSSSCG00000045877	
ENSSSCG00000009241	COPS4
ENSSSCG00000031141	
ENSSSCG00000043380	
ENSSSCG00000014080	HMGCR
ENSSSCG00000034230	RBX1
ENSSSCG00000032453	SUV39H1
ENSSSCG00000004458	TPBG
ENSSSCG00000047390	
ENSSSCG00000003951	C1orf210
ENSSSCG00000033926	NUDT1
ENSSSCG00000008831	DCUN1D4
ENSSSCG00000044052	
ENSSSCG00000013227	KBTBD4
ENSSSCG00000029936	
ENSSSCG00000045030	
ENSSSCG00000047875	
ENSSSCG00000039944	
ENSSSCG00000036395	TMCO2
ENSSSCG00000000551	ARNTL2
ENSSSCG00000034617	
ENSSSCG00000015667	MBD5
ENSSSCG00000031877	ABHD8
ENSSSCG00000013937	TSSK6
ENSSSCG00000033823	XPNPEP3
ENSSSCG00000034423	
ENSSSCG00000017777	FLOT2
ENSSSCG00000012826	
ENSSSCG00000024697	TMEM125
ENSSSCG00000045945	
ENSSSCG00000027902	ZMPSTE24
ENSSSCG00000044386	
ENSSSCG00000023837	WFDC1
ENSSSCG00000004119	GRM1
ENSSSCG00000007951	CREBBP
ENSSSCG00000011944	
ENSSSCG00000037099	ANKLE1
ENSSSCG00000049674	
ENSSSCG00000050317	
ENSSSCG00000049540	
ENSSSCG00000033081	
ENSSSCG00000048477	
ENSSSCG00000032485	
ENSSSCG00000006626	PI4KB
ENSSSCG00000046448	
ENSSSCG00000012824	GAB3
ENSSSCG00000005444	TMEM245
ENSSSCG00000012030	CLDN8
ENSSSCG00000008402	CLHC1
ENSSSCG00000031477	GLOD5
ENSSSCG00000034297	HES2
ENSSSCG00000008832	LRRC66
ENSSSCG00000009827	HVCN1
ENSSSCG00000031073	
ENSSSCG00000002305	EXD2
ENSSSCG00000040165	
ENSSSCG00000039390	EIF3B
ENSSSCG00000029324	COLEC10
ENSSSCG00000042868	
ENSSSCG00000039864	KLC3
ENSSSCG00000038906	
ENSSSCG00000027237	GATA1
ENSSSCG00000014081	CERT1
ENSSSCG00000001696	
ENSSSCG00000021804	KRTAP24-1
ENSSSCG00000013226	PTPMT1
ENSSSCG00000028123	VPS26B
ENSSSCG00000038990	PTPRT
ENSSSCG00000046197	
ENSSSCG00000004460	IBTK
ENSSSCG00000011643	AMOTL2
ENSSSCG00000015668	ORC4
ENSSSCG00000030446	KCNG4
ENSSSCG00000046739	
ENSSSCG00000012823	DKC1
ENSSSCG00000046836	
ENSSSCG00000023322	
ENSSSCG00000000071	ST13
ENSSSCG00000017778	DHRS13
ENSSSCG00000042968	
ENSSSCG00000034385	ADAD2
ENSSSCG00000036575	USHBP1
ENSSSCG00000003374	ESPN
ENSSSCG00000022288	STK38L
ENSSSCG00000041324	
ENSSSCG00000047589	
ENSSSCG00000008834	SPATA18
ENSSSCG00000016969	SERF1A
ENSSSCG00000010300	MSS51
ENSSSCG00000016076	COQ10B
ENSSSCG00000017779	PHF12
ENSSSCG00000040263	
ENSSSCG00000031699	OR2T27
ENSSSCG00000043571	
ENSSSCG00000022486	CBLB
ENSSSCG00000025545	HDAC6
ENSSSCG00000035377	
ENSSSCG00000009242	LIN54
ENSSSCG00000032007	RTN4
ENSSSCG00000014082	POLK
ENSSSCG00000001697	TMEM63B
ENSSSCG00000044559	
ENSSSCG00000002680	TAF1C
ENSSSCG00000028149	THYN1
ENSSSCG00000034233	
ENSSSCG00000050360	
ENSSSCG00000016968	BDP1
ENSSSCG00000013951	
ENSSSCG00000042755	
ENSSSCG00000041972	MED21
ENSSSCG00000012933	CCDC87
ENSSSCG00000004921	ATP8B1
ENSSSCG00000009828	PPP1CC
ENSSSCG00000016077	HSPD1
ENSSSCG00000013233	CELF1
ENSSSCG00000042100	
ENSSSCG00000035445	SEZ6
ENSSSCG00000002306	GALNT16
ENSSSCG00000039929	ERCC2
ENSSSCG00000036553	SAMD12
ENSSSCG00000017313	
ENSSSCG00000046774	
ENSSSCG00000000553	TM7SF3
ENSSSCG00000044276	OR2T6
ENSSSCG00000030177	EBNA1BP2
ENSSSCG00000002675	DNAAF1
ENSSSCG00000050169	
ENSSSCG00000013873	NR2F6
ENSSSCG00000027738	LRRFIP2
ENSSSCG00000000072	SLC25A17
ENSSSCG00000031482	
ENSSSCG00000015669	ACVR2A
ENSSSCG00000006627	ZNF687
ENSSSCG00000025855	RNMT
ENSSSCG00000006801	
ENSSSCG00000047055	
ENSSSCG00000008714	PSAPL1
ENSSSCG00000036398	
ENSSSCG00000002681	HSDL1
ENSSSCG00000047266	
ENSSSCG00000035421	ATP8A2
ENSSSCG00000013874	OCEL1
ENSSSCG00000039744	
ENSSSCG00000006009	EXT1
ENSSSCG00000003376	PLEKHG5
ENSSSCG00000043257	
ENSSSCG00000050862	
ENSSSCG00000034416	
ENSSSCG00000036284	USP46
ENSSSCG00000033057	ANAPC13
ENSSSCG00000003954	FAM183A
ENSSSCG00000016078	HSPE1
ENSSSCG00000042426	
ENSSSCG00000000554	FGFR1OP2
ENSSSCG00000017781	PIPOX
ENSSSCG00000016971	MCCC2
ENSSSCG00000043624	
ENSSSCG00000007952	TRAP1
ENSSSCG00000013875	USE1
ENSSSCG00000040899	
ENSSSCG00000039023	
ENSSSCG00000015626	VWC2
ENSSSCG00000034144	
ENSSSCG00000038075	IFN-OMEGA-5
ENSSSCG00000002307	ERH
ENSSSCG00000001698	CAPN11
ENSSSCG00000007567	CHST12
ENSSSCG00000003957	
ENSSSCG00000036487	
ENSSSCG00000004464	TENT5A
ENSSSCG00000010301	PPP3CB
ENSSSCG00000002682	MBTPS1
ENSSSCG00000007569	GRIFIN
ENSSSCG00000009243	THAP9
ENSSSCG00000036591	
ENSSSCG00000015627	ZPBP
ENSSSCG00000002850	
ENSSSCG00000043631	
ENSSSCG00000016616	FAM3C
ENSSSCG00000049159	
ENSSSCG00000040878	
ENSSSCG00000000073	
ENSSSCG00000039430	
ENSSSCG00000038824	FRRS1L
ENSSSCG00000004923	SLC51B
ENSSSCG00000000074	MCHR1
ENSSSCG00000033577	MED30
ENSSSCG00000012822	MPP1
ENSSSCG00000046662	
ENSSSCG00000021623	
ENSSSCG00000045672	
ENSSSCG00000004120	SHPRH
ENSSSCG00000041462	
ENSSSCG00000007572	LFNG
ENSSSCG00000016972	CARTPT
ENSSSCG00000030443	INTS13
ENSSSCG00000046591	
ENSSSCG00000043365	
ENSSSCG00000011645	CEP63
ENSSSCG00000031893	
ENSSSCG00000038071	RASL12
ENSSSCG00000006628	PSMD4
ENSSSCG00000035438	
ENSSSCG00000028600	SLC39A9
ENSSSCG00000028085	
ENSSSCG00000049416	
ENSSSCG00000039432	
ENSSSCG00000015628	SPATA48
ENSSSCG00000016617	WNT16
ENSSSCG00000008835	RASL11B
ENSSSCG00000021343	ZEB2
ENSSSCG00000000075	MRTFA
ENSSSCG00000031765	
ENSSSCG00000030113	SHISA2
ENSSSCG00000021328	PCSK1N
ENSSSCG00000016079	MOBKL3
ENSSSCG00000039218	SLC38A8
ENSSSCG00000035506	UBAP1L
ENSSSCG00000044637	
ENSSSCG00000005446	EPB41L4B
ENSSSCG00000016618	CPED1
ENSSSCG00000036542	PPP1R13L
ENSSSCG00000015258	GLB1L2
ENSSSCG00000007565	TTYH3
ENSSSCG00000048847	
ENSSSCG00000046012	
ENSSSCG00000009244	SEC31A
ENSSSCG00000046535	
ENSSSCG00000004926	PDCD7
ENSSSCG00000037501	FANCF
ENSSSCG00000022647	TIMM17B
ENSSSCG00000006011	SLC30A8
ENSSSCG00000002309	PLEKHD1
ENSSSCG00000016974	MAP1B
ENSSSCG00000037896	
ENSSSCG00000000076	SGSM3
ENSSSCG00000040001	TNFRSF25
ENSSSCG00000046838	
ENSSSCG00000043640	
ENSSSCG00000024222	MLH1
ENSSSCG00000010302	USP54
ENSSSCG00000013876	MYO9B
ENSSSCG00000038345	IKZF1
ENSSSCG00000004927	CLPX
ENSSSCG00000032115	OSGIN1
ENSSSCG00000023771	
ENSSSCG00000020754	POLR1G
ENSSSCG00000001700	SLC29A1
ENSSSCG00000042384	
ENSSSCG00000025264	PQBP1
ENSSSCG00000050845	
ENSSSCG00000026559	EML6
ENSSSCG00000049169	
ENSSSCG00000013239	PSMC3
ENSSSCG00000049619	
ENSSSCG00000006013	AARD
ENSSSCG00000037483	RFTN2
ENSSSCG00000039710	MYL2
ENSSSCG00000002311	SUSD6
ENSSSCG00000011946	ALCAM
ENSSSCG00000007568	IQCE
ENSSSCG00000045565	
ENSSSCG00000016619	ING3
ENSSSCG00000000077	ADSL
ENSSSCG00000017783	
ENSSSCG00000031616	FOSB
ENSSSCG00000027417	LDLRAD4
ENSSSCG00000013947	
ENSSSCG00000031450	MLYCD
ENSSSCG00000041149	
ENSSSCG00000023920	P3H1
ENSSSCG00000044704	SMIM9
ENSSSCG00000032583	SRSF5
ENSSSCG00000041641	
ENSSSCG00000004928	CILP
